BPS030214,LND110210,Density
2441,414.9,1295.9
1004,598.3,1345.5
821,80.94,7671.5
213,213.15,416.3
35,319.42,103.5
355,447.6,373.4
278,346.27,292
790,457.75,320.2
27,540.77,60.3
1311,660.22,353.5
85,647.1,46.5
860,437.09,560.1
1446,250.74,1144.9
54,277.03,72.9
3839,491.25,1978.2
1292,482.69,1788.8
173,371.91,128.5
140,319.72,82.8
457,357.18,294.4
43,268.54,140.7
274,457.78,322.1
168,374.44,263.7
200,468.28,109.9
91,467.93,230.2
66,6671.33,10.8
906,835.24,337.2
58,1696.61,18.1
183,1586.89,34.3
344,867.52,140.8
101,365.13,108.8
56,455.82,75.6
164,2076.84,27.8
231,3397.36,45.3
20,3960.86,4.4
97,253.7,139.1
37,3924.4,13.3
76,729.92,53.1
41,2562.66,12.8
693,990.71,199
23,674.59,16.2
28,915.07,10.5
348,825.23,135
23,571.86,51.8
45,475.7,49.6
12,363.19,43.8
15,898.26,9.9
86,553.09,107
62,442.3,243.7
41,319.7,54.8
184,567.75,276.2
0,506.37,89.4
56,706.23,192.8
84,490.06,106.7
67,416.34,62.3
54,715.26,36.6
38,1558.42,24.7
20,564.32,54.8
345,566.41,133.1
18,556.28,25.3
47,1171.1,31.7
32,761.4,34.4
95,575.18,187.3
69,467.49,69.9
343,636.98,668.5
41,501.78,51.2
23,1101.85,14.9
384,464.33,187.3
17,568.46,74.7
34,598.13,78.1
34,1009.1,36.3
47,835.71,39.6
315,556.12,505.1
53,571.3,111.9
49,549.1,47.1
20,1166.15,10.1
111,572.68,122.8
89,701.67,228.4
480,561.66,445.7
21,559.87,30.6
1711,846.95,711.5
8,540.11,4
54,567.37,20.3
120,643.01,137.4
113,347.17,62.5
92,749.56,133.3
736,565.25,320.2
13,899.08,7.4
27,1021.57,10.9
1850,479.22,1754.9
47,542.15,45.6
142,1808.4,37.1
46,495.07,58
79,555.07,77.1
47,1044.08,23
262,516.25,162
19,564.73,26.3
239,549.39,276.7
67,705.4,89.8
0,546.66,17.9
181,499.25,344.9
46,813.2,59.6
2458,867.66,1385.7
4,512.07,51.9
34,563.49,38.5
7,1311.23,5.2
23,566.39,41.5
13,565.73,15.3
17,514.97,46.9
1307,563.47,468.2
18,658.72,20.3
50,519.64,47.1
214,800.11,250.2
39,962.57,44.8
10,1171.36,7.2
18,530.67,133.1
130,721.17,226.1
44,500.59,122.4
23,803.13,69.4
81,607.47,125.5
570,705.97,488.4
1001,612.08,2974.4
45,565,57.9
175,1821.66,8.9
704,423.01,782.1
146,1315.2,24.7
199,2504.94,17.7
98,408.3,94.2
7,499.02,10.6
332,747.84,85.6
90,611.09,42.4
60,861.38,41.1
623,354.33,256.9
151,2021.54,14.1
9,581.12,21.4
174,414.86,129.9
559,1045.37,56.4
