Income,INC110213,Poverty
17697,31593,23.6
22963,46555,15.2
19481,37646,16.1
14040,24246,31.8
16435,29184,27.2
29251,48398,18.9
19304,32495,22.2
17716,30476,28.9
26243,46071,16.6
18602,33582,22.2
19020,43793,20.7
21341,44652,19.1
19829,46159,18
20746,38394,18.6
19115,32399,23.3
17984,34406,21.9
22035,44060,17.9
22686,51189,14.2
24147,48687,15.8
16257,25906,31.3
21424,36048,23.1
17273,33408,26.6
22746,41940,17.7
21923,46016,17.1
19292,34029,18.3
22132,40891,18.8
15880,26156,34.2
27925,46959,16.7
25637,49024,16.9
19445,34090,24.3
27704,54270,13.7
18448,33889,23.1
14367,24038,34.7
19611,39753,16.9
19923,36570,21.8
17960,33525,27
13969,22920,37.2
16424,29293,22.6
17886,31200,25.3
16132,28388,29.1
17420,33651,25.4
19795,40313,16.9
19143,36590,21.2
22123,40112,16.8
21800,42312,21.4
15118,26877,28.6
18865,38719,17
22381,43907,11.6
15525,26261,35.1
23347,41137,19.3
25957,44898,16.2
11818,20972,30.3
19984,38833,18.8
20898,46756,16.9
15942,29108,27.5
24138,45396,16.8
17171,31750,20
16656,29808,25.2
20436,37312,25
16233,30658,28.9
20008,38105,20.4
23545,43833,18.2
20450,43081,16
19005,40830,19.7
33591,83391,6.8
23991,41009,16.2
13611,19986,37.7
23122,45480,15.6
18224,33528,25.3
19351,32961,23.4
15174,26839,31.7
20667,34092,23.3
17641,31786,22.8
16513,30674,25.5
17094,35236,28.6
17107,29721,27.3
27802,61893,12.4
27039,57298,12.4
19441,39546,20.3
26666,65209,7.7
18790,36384,21.7
17846,41541,20.5
25527,45629,16.1
22070,49718,17.2
19464,39125,25.7
23853,44135,19.1
19837,40845,14.2
16396,29497,24.3
20337,41415,14.8
15960,29769,26
14157,22574,40.5
29277,57580,11.6
19910,37587,18.7
18857,38429,16.1
28178,69070,12.3
21743,46116,18.7
18006,33942,22.6
22509,46385,16.8
18958,31543,26.9
27429,53248,14.3
24308,41053,19.5
24355,43499,17.4
22782,39385,20.2
29559,64574,8.7
19970,36165,21.8
17512,32996,29.7
16431,29022,31.8
21547,39162,22.6
27505,48506,19.2
12055,25321,48
22099,47225,17.3
18023,31832,24.5
17752,31214,29.9
19018,39654,17.3
22997,44262,20.7
21177,45368,19.2
19188,37388,20.6
26908,48261,16.5
21132,41622,18.8
28901,51462,16.7
24798,50572,14.1
22481,42528,14.2
20633,35769,30.4
25076,56811,13.3
13585,25498,40.3
16683,28585,26.5
20802,33953,26
26500,37146,27.3
21917,38955,23.2
25748,55138,12.7
23742,45363,17.7
22126,40930,19.9
21443,39346,21.8
18669,36835,21.3
22229,35159,21.7
20316,41353,18.7
26756,58758,12.7
19457,33143,27.4
24930,55443,16.4
21335,50635,16.1
19387,35503,26.8
22164,42186,18.2
21313,41571,21
30363,60799,10.6
21273,40654,21.2
17175,27543,34.3
24114,49960,17.1
19412,35828,27.9
22589,44665,17.1
21396,46572,13.5
17735,31778,25.7
19871,35071,21.9
24838,50926,14.6
17980,33848,25
21720,61616,16.6
16789,34322,22.6
36142,60526,9.3
29294,48450,12.8
28837,55298,12.4
33363,66288,10.1
35167,67311,11.2
29259,53663,12.1
25817,49094,17.7
29460,61227,13
42861,82090,8.1
47331,85478,10.4
44692,84916,6.6
35220,75092,7.6
32835,53540,20.8
31537,65223,11.2
21211,39293,17.4
40415,87430,6.3
34374,66486,8.9
24750,41385,23.8
38260,95477,4.9
25211,58632,14.4
36153,84790,5.6
29518,66689,10.4
37277,93160,7
26388,46361,16.5
36917,84570,6.1
24932,45206,13.9
35425,80622,7.4
48172,109865,4.6
31502,56259,13.2
49038,98221,6.7
32344,73623,9.4
38108,87256,8.1
16748,38447,23.4
36017,85672,7.2
38022,61597,8.6
26532,55609,12.4
25378,51092,17
32887,57952,10.9
24442,44921,15.6
21566,37855,16.3
32880,57461,11.4
22083,41626,15.6
27797,47460,14
25770,46808,13.4
27865,49755,10.8
28070,50181,11.7
