BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207
22834,399744,2.2,59296,67500,4.3,1.1,3.7,0,8.7,30.2
53,0,0,149,349,0,0,0,0,0,0
8040,91934,5.2,28689,32992,0,0,2.4,0,3.1,27.7
3217,29062,-3.3,6887,9437,0,1,0,0,3.6,26.3
564,2271,9,2629,3269,0,0,0,0,0,26.2
16008,221972,3.3,45032,57475,2.5,0.7,3,0.1,4.9,31.4
821,7420,-2.9,2692,4110,0,0,0,0,0,26.2
2410,18983,2.8,5918,8595,0,0.6,0,0,5.7,25.1
111,4970,4.9,493,723,0,0,0,0,0,0
797,7582,5.5,1803,2624,0,0,0,0,0,22.5
1053,6056,-1.6,2243,3300,0,0,0,0,0,21.3
75,183,3.4,167,326,0,0,0,0,0,0
156,1188,0.3,580,938,0,0,0,0,0,0
71,279,3.7,175,127,0,0,0,0,0,0
16222,188932,0.4,51004,62249,0.6,0.6,2.7,0,5.2,30.2
36,0,0,145,0,0,0,0,0,0,0
263,1952,0.7,657,834,0,0,0,0,0,39.3
205,1226,-1,608,796,0,0,0,0,0,26.6
2296,20661,8,5970,8231,0,2.2,0,0,0,25.9
9723,112150,2,28499,34660,0.4,0.5,1.8,0,3.6,29.7
371,3228,-8.3,911,1558,0,0,0,0,13,25.9
123,1114,-1.9,392,626,0,0,0,0,0,29.4
577,5312,1.7,1219,1396,0,0,0,0,2.9,21.9
4431,49355,-1.1,11002,16079,0,0.9,0,0,4,26.7
66,220,7.3,151,510,0,0,0,0,0,0
415,3527,3.5,951,0,0,0,0,0,0,0
758,6746,0,2219,3068,0,2.1,0,0,0,31.4
1270,11253,5.8,3557,5538,0,0,0,0,5.1,29.7
667,8794,-2.3,1701,2137,0,0,0,0,7.9,24.1
442,4256,-4.9,1008,1586,0,0,0,0,12.1,37.3
263,963,4,873,1117,0,0,0,0,0,26.5
434,1196,2.3,1720,2313,0,0,0,0,0,28
135,909,-9.4,413,324,0,0,0,0,0,27.5
1559,16314,3.1,3528,5100,0,0,0,0,2.9,26.5
340,2901,1.4,833,1328,0,0,0,0,0,13.2
3036,46754,1.4,7860,10232,0.6,1.5,1.7,0,17.1,29.1
229,2131,1.2,576,825,0,0,0,0,0,30.7
348,2646,1.8,1017,1791,0,0,0,0,16.1,24.6
1592,16630,-7.3,3543,4913,0,0.5,0,0,0,20.3
117,799,4.6,576,501,0,0,0,0,0,0
68,203,-8.6,106,0,0,0,0,0,0,0
614,4430,3.2,1660,2294,0,0,0,0,3.1,23.3
71,510,3.9,188,282,0,0,0,0,0,0
2140,18614,2,4139,5751,0,0,0,0,0,27.5
673,5377,7.8,2388,3429,0,0,0,0,0,31
105,524,2.5,371,265,0,0,0,0,0,0
5376,71783,2.9,19020,23024,0.6,1.4,1.5,0,0,25.4
370,2535,1.5,943,1031,0,0,0,0,0,0
26972,403375,-0.5,88363,108910,4.7,0.4,3.3,0,5.9,28.6
22613,446375,1.2,56271,72906,6.3,0.5,3.9,0,4.1,25.9
4782,51115,-1.1,16961,21435,1.6,0.6,1.5,0,1.1,28.5
4147,60406,0.9,13156,15693,1.3,0.4,3.4,0.2,1.5,28
19431,331081,1.6,57091,74477,5,0.5,3.7,0,4.4,28.2
5698,103244,-1.5,15978,21733,2.1,0.9,2.8,0,2.6,28.2
2398,30798,1.7,9190,11698,0,0,2.9,0,1.8,32.5
2092,29397,-1.6,6501,8491,0.9,0.8,1.9,0,0,24.4
21919,491130,1.7,52262,55887,28.2,0.9,5.9,0,6.1,34.5
3166,48071,0.4,9126,11242,10.4,0.8,3.8,0,2.5,26.2
15452,270062,6.4,32974,43660,10.1,0,5.1,0,2.1,26.5
5343,61111,2.3,14761,20285,4.5,0.5,1.6,0,1.7,24.3
5850,84425,2,16536,20676,7.8,0,3.8,0,6.7,31.6
388,5150,0.6,1181,1727,0,0,0,0,0,26.2
4380,56839,0.5,12463,15465,0,0,0,0.3,2.7,29
421,4067,-4.5,1161,2106,0,0,0,0,0,0
13084,161218,-0.9,39045,45939,6.1,0.4,2.9,0,5.3,30.4
57607,626529,1.2,225162,237524,16.4,0.5,3.7,0.1,22.1,29.8
191,1729,1.6,767,1034,0,0,0,0,0,0
3692,35239,3.3,11764,13987,0,0,0,0,0,26.4
2665,26477,1.6,8790,12451,2.5,0,0,0,0,30.9
3596,36060,2.5,11616,15242,6.3,0,4.2,0,4.5,28.8
10622,108607,2,34947,38309,3.3,0,1.8,0,15.5,26.8
1320,17648,0.5,3691,5089,5.7,0,0,0,3.4,24.7
427,4876,1.7,1572,1899,0,0,0,0,0,24
184,1411,1.5,775,919,0,0,0,0,0,0
23807,403647,1.6,62201,69495,14.1,0.3,4.9,0,6.3,29.8
6581,98366,-1.4,19187,24187,9.5,0,3.7,0.1,2.4,30.6
1863,15920,0,8112,9695,0,0,0,0,0,0
304,2226,1.3,1270,1758,0,0,0,0,0,0
640,9016,3.4,2780,2765,35.1,0,0,0,0,29.8
214,1424,5.8,913,1104,0,0,0,0,0,0
106,881,6,517,354,0,0,0,0,0,29.4
275,2023,2.7,1063,1232,0,0,0,0,0,0
166,1890,-3.9,556,816,0,0,0,0,0,35.5
380,4172,-5,1272,1363,0,0,0,0,22,0
546,5579,3.4,2707,2489,0,0,0,0,34.3,0
2984,29704,-1,10326,13476,3.6,0.8,0,0,8.7,26.6
1862,18901,-4.6,5719,7360,0,0,3.7,0,14.4,24.1
33302,538119,3.2,106573,114841,8.6,0.6,4.5,0,19.9,28.6
267,1804,-5.2,1091,937,0,0,0,0,0,20.3
3976,39372,0.8,12372,15401,4.9,0,0,0,6,0
767,8740,-1.9,2687,3106,0,0,0,0,2.4,27.1
239,1490,0.5,1015,1092,0,0,0,0,0,0
94,762,1.1,325,247,0,0,0,0,0,0
6526,70757,3.9,22148,26755,5.6,0,0,0,8.7,27.5
16403,184629,2.8,57794,64852,4.2,0,2.3,0,13.6,26.5
7396,94117,2.1,19062,24022,15,0,3.1,0,4.1,29.8
703,5121,-0.2,2599,3663,0,0,0,0,0,22.8
