MAN450207,WTN220207,RTN130207,RTN131207,AFN120207
5553679,146167,454857,8556,40186
0,0,30018,4597,0
0,977575,331951,9525,27440
0,0,22307,4376,5376
320789,301803,88717,5593,12957
0,331272,115401,8480,8121
3248908,2575981,2347059,12163,374499
392440,0,369948,10703,29295
664438,176069,109618,6513,17035
737102,168802,114775,8375,0
0,281952,383207,10581,32422
0,382885,635068,12150,75603
77932858,83964561,60585557,11571,13094372
0,90886,164186,8419,15266
0,0,22877,2119,3098
1435916,249685,1090171,10351,128175
0,248857,188199,11527,13923
699883,290117,218438,11222,24490
16862490,49574946,18043391,19550,2226207
521758,126747,197055,10476,12036
0,147064,40643,6229,2538
890285,0,857847,25050,85192
174590,322619,227314,10846,18286
0,323108,112302,7990,11430
223186,72726,362193,9236,34169
0,0,288858,7843,29399
0,23177,21882,3684,0
0,151301,95884,7009,0
2082448,438450,522618,11097,56309
0,0,41922,5145,2759
193240,200539,106493,5676,10926
0,0,14363,3219,1016
0,0,26145,3462,1914
0,0,477578,9644,42009
338655,614888,265444,8843,20770
177351,0,684089,11751,108315
0,257191,82642,8592,3246
0,0,567630,14157,67783
0,0,250326,11186,26668
419517,120531,310735,14017,81271
0,16727,65543,4788,6806
9879494,9589573,5688267,11482,680888
3418939,0,1258509,11264,0
685730,1299755,1064021,10957,99906
0,0,681371,13120,68325
16381499,26053269,20336251,28949,1299296
2244000,1208180,1739926,15466,158601
0,82733,81715,4923,0
1098190,0,366468,10426,34957
1261471,0,396450,10438,38283
631562,0,275457,9219,30369
9590836,0,1450614,13342,170857
180436,350368,326048,6760,26082
18978164,1643600,3104222,11622,382660
689705,0,345728,8734,36765
0,0,78465,6085,9228
0,192326,98760,6563,10399
0,0,75936,5025,0
248754,0,338109,10221,52785
5291243,2391154,3578581,11372,365565
2578827,5309346,2231369,13607,336104
0,128740,68939,5507,6909
0,0,85284,5191,5605
0,0,405724,12507,35946
305556,254264,401515,13479,36376
0,425549,403082,11399,44423
541212,95187,118718,8275,0
1137608,0,454312,8257,43365
4951288,1609825,2425913,13250,343149
369043,42904,168280,7452,15379
0,263944,118815,7220,9981
0,265271,136472,8233,13705
0,0,9223,2245,1219
0,0,31840,4941,0
0,0,21663,3619,2266
532245,166393,332305,10123,26776
94581,250335,161489,10346,14233
3714268,1437502,1711386,11636,224219
92440,0,271186,10427,28274
0,1841290,2862623,14768,366849
0,0,53090,7647,0
0,0,34894,6686,1714
0,157299,140900,6477,14065
2324457,1661620,3087185,11818,615352
0,0,57253,9404,1352
905092,0,480551,10285,44798
5145678,1225115,1758134,13424,353944
176076,20504,145142,8009,10029
2576404,0,757887,9367,84980
0,89502,109214,8966,10150
0,219765,133722,7602,14251
409194,270495,197317,13400,12325
0,126570,146263,8814,0
0,400258,123142,8392,11408
1022531,926845,570627,9676,60604
13628202,11061791,6841452,10211,1404940
681388,0,987511,15370,118603
7913361,2624724,3851993,12943,452187
963346,0,278287,7329,26023
2127689,0,369895,10928,27069
19741940,0,4774175,13667,550450
4843890,747332,1075239,14399,139684
0,0,50891,5852,2561
397083,158855,97872,7389,8038
0,386393,484483,8970,54490
0,4299,61518,4180,19753
0,0,102111,5153,18411
1302002,438966,340870,8714,33801
2114873,1062039,1729530,16414,197472
0,0,312395,11737,18422
2283489,0,223595,6579,25067
0,0,40720,3752,0
643418,153709,381537,12667,25851
786076,0,509651,10256,0
1869737,0,315023,12582,29861
3818858,0,408899,9774,47475
1280555,424060,1516815,13156,160815
0,530645,763441,18509,58781
15779841,3231392,2416879,12182,272416
486488,85936,208881,8604,21624
1558350,1420463,787397,10813,0
498444,124764,142465,8336,12013
0,18626,171270,7407,28470
524323,62128,200781,9931,0
0,0,442605,13501,38501
1670123,0,765826,11121,88055
0,0,226084,6924,19511
1569925,2779456,3295421,12582,437156
1256037,519932,568518,8584,66306
410685,98576,400931,10862,0
2819422,2520749,2088672,15496,227647
1026569,180241,455036,9706,36185
2923185,319544,1194698,14264,150481
1478637,0,328017,8651,44268
2585502,0,529531,12572,58429
601064,163377,405489,12531,33940
835131,413695,139539,6543,0
1476978,0,382708,11801,43158
377163,0,223798,7956,16079
1609901,682332,2072896,15169,208425
774300,321523,471778,12463,56801
5705256,0,794883,10423,92258
1602328,104569,276916,7498,33861
21914467,3348813,7102425,14455,1069166
2364020,856204,1363592,12355,389663
716454,0,481647,10481,42970
1046853,574203,1234877,9433,155130
24333886,15780255,12951290,14748,2248380
1239448,0,550984,11839,50494
0,51087,81212,8044,0
711346,0,235379,6423,25837
1799286,683154,1530793,11968,287796
2768351,368625,429214,11343,48487
0,185002,586949,8378,59095
197474,121634,96674,6901,7984
2454544,0,357295,7491,35884
0,0,23731,4068,0
201749,52770,153183,7812,0
0,0,106333,4750,10444
137612,24541,84463,4932,0
600192,12925,153361,8097,0
0,64738,55934,4449,5609
7318767,1463085,1956275,12188,211334
0,346707,268383,10225,17130
0,262911,112778,8175,0
675972,43013,310811,8367,45904
577384,113276,273327,10588,0
757369,44459,255352,9347,18675
523330,162347,113360,6468,0
978675,0,241227,10156,30721
2354852,291027,487648,11094,46357
0,181067,166048,8215,16299
8011023,0,3683417,13831,439711
243732,61452,156674,6730,0
1147951,97221,575134,17170,57024
0,201464,146923,6894,14252
0,3944,19919,2074,0
0,413344,2079578,12769,315997
362143,141637,136038,8473,9837
0,0,31015,4366,3006
6447599,2907819,3025844,17308,516819
0,0,184550,11296,16305
3565934,584135,1668183,15780,195501
1045382,168937,325620,9889,30325
93073,118293,24040,2812,8420
0,412340,331226,5794,36854
248328,16287,190711,6844,0
2483052,325246,1004328,14748,107213
699092,0,221300,7969,19285
715246,235098,283389,11911,24469
2107506,0,343476,10547,28272
434704,37176,121694,9077,12409
0,53525,87242,11102,5600
0,0,130130,7912,14931
0,35570,70317,14910,2727
561411,0,339355,12254,35379
178967,554890,120585,8136,16285
91416,87482,67859,6771,7611
0,130113,567483,9024,57370
0,0,10868,3815,2283
0,0,15764,4176,0
512058,205501,121743,5686,8639
0,54578,12191,4422,937
0,0,9889,4775,0
0,99290,76023,8756,5547
0,91801,109669,11776,13731
0,52345,102988,12228,4869
0,0,10297,5608,1452
2025397,0,317199,9291,34235
757221,0,395361,10204,51852
0,60478,17169,5793,1538
317310,232637,191407,10143,15310
0,0,25238,3241,1516
976469,0,1202225,10601,213749
0,74694,12379,3987,0
0,0,7998,2680,0
0,144903,497467,18264,72165
0,23009,31852,5066,4554
0,0,504229,12364,54895
0,0,395737,12121,40272
384080,168701,234280,8921,27910
0,70826,295149,9992,51976
0,104789,17068,6552,2010
0,23088,30166,11710,1339
0,253106,66963,8998,7133
0,112701,34787,6032,1277
0,0,9621,7406,0
0,14147,53316,7684,2983
0,34386,25434,9816,636
0,90981,50209,8746,4388
0,90787,274715,8170,29446
0,147070,13723,3400,0
0,0,5906,3052,209
0,34453,91112,6822,0
0,9597,71260,3880,4409
0,16800,14347,4502,1152
7847699,16252012,9255321,17598,1082977
0,19843,7593,1835,1234
0,57048,43185,5556,4451
0,71471,14583,5385,856
410239,0,204285,9305,14150
0,12245,13628,7841,0
107742,13167,492953,6697,48348
0,24095,11148,3413,763
0,4347,47786,4981,1271
0,53606,78581,29856,3502
0,0,470739,13179,51039
0,106706,69995,5743,5621
257714,128934,185982,18309,8833
4222628,0,382204,13167,29843
0,108345,20284,4602,1456
0,72680,251725,8183,23967
0,73323,98777,15654,5081
3979668,0,364610,10599,43496
0,9155,44988,7570,4614
0,54820,28557,9251,2290
243056,79569,106838,10528,4229
291019,180154,199840,12360,13085
0,42438,16086,5433,1541
0,40003,36977,6796,5399
0,19408,70601,4327,0
0,86231,38522,10001,1421
0,47967,19295,3232,1533
0,93781,48480,7574,5749
0,33908,46642,8776,3679
329645,160957,283927,14582,11780
0,108263,170163,18089,15023
0,83478,16263,6413,727
908658,573283,828616,13150,83362
0,97433,43742,8902,3130
0,64016,46889,4671,6640
0,93235,728603,10498,125435
0,120294,56427,10991,0
0,27743,30704,9689,901
0,70326,67979,10110,10038
0,816434,1064587,19676,96095
