SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214
50,0.948,0.004,1.9,0.5,0.1,2.3,0.097,86.2
50.3,0.872,0.014,4.7,1.3,0.3,5,0.119,77.5
50.3,0.606,0.148,1.3,15.6,1,6.7,0.256,39.6
51,0.874,0.019,2.2,4.3,0.4,3.8,0.261,64.6
50.5,0.841,0.033,1.9,5.9,0.9,3.9,0.441,44.3
50.3,0.74,0.025,2.3,16.5,0.4,4.3,0.299,47.8
50.2,0.907,0.01,3.4,1.4,0.2,3.4,0.241,69.4
49,0.879,0.005,5.3,0.9,0.2,5.2,0.073,82.6
49.9,0.883,0.022,2.8,4,0.2,2.4,0.629,30.3
47.8,0.908,0.021,2.2,1.3,0.2,3.3,0.115,81.1
50.5,0.848,0.022,1.9,7.5,0.3,3.3,0.42,46.6
51.3,0.759,0.03,1.8,13.8,0.6,5,0.315,48.3
49.2,0.794,0.04,3,7.3,0.5,5.9,0.272,56.6
49.6,0.87,0.037,2.1,4.1,0.2,2.9,0.388,51.9
49.6,0.878,0.019,5.5,1.6,0.3,3,0.455,49.5
50.7,0.783,0.109,1.1,5.6,0.2,3.7,0.188,62.1
49.9,0.927,0.005,3.3,1.1,0.1,2.4,0.186,76.9
50.1,0.944,0.011,2,0.4,0,2.1,0.105,85.5
35.6,0.865,0.072,3.2,1.3,0.1,1.7,0.318,58
49.8,0.908,0.011,0.8,4.5,0.1,2.6,0.138,78.3
50.4,0.888,0.014,0.8,6.3,0.1,2.5,0.12,78
47.2,0.944,0.017,1.5,0.8,0.1,1.5,0.102,85.4
48.5,0.963,0.007,1.3,0.6,0.1,1,0.127,84.3
48,0.953,0.009,1.2,0.8,0.1,1.6,0.055,90.7
50.2,0.925,0.007,3.7,0.6,0.2,2.3,0.541,43.5
47.6,0.883,0.019,5.6,1.4,0.4,2.4,0.643,32
30.2,0.84,0.093,3.4,1.4,0.1,1.8,0.303,56.4
49.1,0.959,0.012,0.8,0.6,0,1.6,0.053,91.2
50.1,0.952,0.007,1.3,0.8,0.1,1.8,0.147,82.2
50,0.807,0.102,2,3.8,0.2,3.1,0.308,53.4
48,0.932,0.003,3.6,0.3,0.1,2.6,0.051,88.6
50.3,0.913,0.014,0.5,4.3,0.1,2.4,0.083,83.9
47,0.951,0.01,1.4,1.2,0.1,1.2,0.3,67.1
49.8,0.954,0.008,0.8,1,0.2,1.9,0.064,89.7
49.6,0.837,0.07,1.3,3,0.4,4.6,0.163,70.3
42.3,0.915,0.04,1.9,0.8,0.1,1.7,0.13,79.4
48.9,0.942,0.012,1.8,0.8,0.2,1.9,0.281,68.8
47.3,0.931,0.018,1.2,1.5,0.3,2.2,0.064,87.4
47,0.956,0.005,0.8,0.9,0.1,2,0.08,88.8
45.9,0.945,0.005,2.5,0.7,0,1.8,0.093,87.5
48.2,0.959,0.005,1.1,0.6,0,1.8,0.037,92.6
49.6,0.893,0.01,5.4,1.1,0.2,3,0.344,61.7
46.7,0.959,0.001,1.7,0.4,0,1.9,0.11,86.3
50.3,0.922,0.013,1.2,2.8,0.1,2.3,0.152,78.8
50.8,0.966,0.007,0.9,0,0.3,1.5,0.063,91.4
44.8,0.941,0.025,1.1,0.6,0.2,1.5,0.193,76.1
46.7,0.939,0.007,2.6,0.6,0.1,2.2,0.378,59.2
49.2,0.892,0.006,6.8,0.8,0.1,2.5,0.126,79.2
50.2,0.932,0.011,1,2.2,0.1,2.4,0.111,83.5
48.4,0.914,0.018,3.5,1.1,0.1,2.1,0.425,52.7
40.9,0.906,0.056,1.1,1,0.1,1.7,0.134,78.4
43.5,0.916,0.043,1.6,0.9,0.1,1.5,0.161,76.9
50.3,0.942,0.01,1.5,0.9,0.1,2.2,0.141,82
47.6,0.971,0.004,0.9,0.4,0,1.1,0.044,92.8
48.1,0.952,0.005,1.5,0.8,0.1,1.9,0.143,82.2
50.3,0.831,0.005,13,0.9,0.1,2.4,0.122,73.2
50.8,0.943,0.007,1.8,0.8,0.3,2,0.202,76.5
50.2,0.928,0.031,1.6,0.7,0.3,1.5,0.353,60.1
50.4,0.914,0.012,3.6,0.9,0.2,2.7,0.41,55.4
50.9,0.968,0.002,0.5,0.6,0.1,1.8,0.055,91.9
47.3,0.946,0.006,1.3,1.1,0,2.3,0.062,89.5
50.4,0.961,0.01,0.8,0.6,0.1,1.4,0.206,76.6
47.6,0.957,0.008,0.5,1.4,0.1,1.5,0.099,86.5
49.9,0.953,0.008,1.8,0.4,0,1.7,0.364,61
50.7,0.908,0.025,3,1,0.2,2.5,0.425,52.9
48.1,0.942,0.011,1.5,0.5,0.1,2.4,0.111,84.1
50.1,0.934,0.007,3.3,0.5,0,2,0.442,53
47.6,0.964,0.006,0.6,0.8,0.1,1.5,0.07,90.1
49.5,0.927,0.008,3,0.9,0,2.7,0.383,57.4
43.1,0.949,0.001,1,1.3,0,2.8,0.142,82.1
46.9,0.953,0.007,1.4,0.9,0.1,1.6,0.096,87.1
50,0.954,0.005,1,1.4,0,1.7,0.151,82.1
45.9,0.954,0.01,1.1,1,0.1,1.4,0.147,82.3
49.1,0.947,0.007,1.2,0.9,0.1,2.4,0.062,89.6
48.5,0.97,0.008,0.3,0.4,0.1,1.4,0.095,88
49.6,0.931,0.014,1.7,1.5,0.2,2.1,0.288,66.7
50,0.973,0.004,0.8,0.5,0.2,0.8,0.219,76.6
51.2,0.798,0.122,0.5,5.5,0.1,2,0.187,63.8
51.5,0.768,0.152,0.5,5.1,0.1,2.3,0.17,63.4
50.7,0.944,0.018,0.3,1.8,0.1,1.6,0.055,89.9
51.2,0.894,0.054,0.2,3,0.1,1.9,0.058,84.6
51.8,0.788,0.142,0.5,4.2,0.1,2.2,0.168,65
49.9,0.839,0.069,1.1,4.5,0.2,3.5,0.099,76.3
49.8,0.903,0.036,0.2,4.1,0.1,1.8,0.05,86.2
50.4,0.928,0.029,0.6,1.4,0.1,2.2,0.109,83.8
52.6,0.436,0.49,0.6,4,0.2,2.6,0.104,35.8
51.8,0.683,0.252,0.7,2.3,0.1,3.4,0.069,63.3
51.6,0.671,0.249,0.4,5.2,0.1,2.3,0.094,59.5
51.5,0.825,0.128,1.2,1.2,0.1,2.1,0.093,75
51.7,0.706,0.205,0.3,5.9,0.1,2.6,0.091,62.6
47.9,0.839,0.135,0.4,0.7,0,1.6,0.024,81.9
50.2,0.824,0.113,0.8,2.3,0.1,3.1,0.057,77.7
45.6,0.782,0.191,0.4,0.5,0.1,1.7,0.038,74.9
51.2,0.838,0.107,0.5,2.4,0.1,2.5,0.093,75.8
51.4,0.649,0.289,0.4,3.7,0.1,2.1,0.275,39.8
45.5,0.818,0.136,1.3,0.8,0.2,2.2,0.058,76.8
51.3,0.905,0.062,0.3,1.4,0.1,1.5,0.067,84.7
51.6,0.933,0.031,0.4,1.6,0,1.5,0.052,88.7
50.8,0.824,0.109,0.5,3.2,0.2,2.9,0.092,74.8
50.8,0.897,0.072,0.5,1.4,0.1,1.1,0.267,64.3
48.2,0.78,0.185,0.5,1.1,0.1,1.8,0.056,73.1
43.7,0.835,0.132,1.1,0.8,0.2,1.2,0.305,55.2
46,0.885,0.091,0.4,0.4,0,1.5,0.037,85.1
51.6,0.62,0.301,0.4,4.7,0.1,2.7,0.086,55
50.1,0.699,0.228,0.9,3.1,0.2,3.1,0.055,65.5
52,0.837,0.115,0.4,2.4,0.1,1.9,0.098,75.3
42.2,0.827,0.144,0.6,0.7,0.1,1.5,0.051,78
49.5,0.423,0.552,0.6,0.7,0.2,1.1,0.105,33.2
48,0.917,0.057,0.7,0.5,0.1,1.2,0.052,87.1
43.7,0.787,0.14,5.6,0.7,0.1,1,0.217,60.4
39.8,0.78,0.191,0.5,0.6,0,1.8,0.05,73.4
42.9,0.63,0.335,1,0.8,0,1.8,0.095,55
46.5,0.885,0.076,1.2,1.2,0.1,1.4,0.431,47.5
48,0.82,0.132,2.2,1.3,0.2,1.1,0.509,33.9
52.1,0.905,0.057,0.5,1.4,0.1,1.9,0.116,80.2
51.5,0.856,0.106,0.6,1.5,0.1,1.6,0.184,68.7
51.3,0.753,0.175,0.6,4,0.1,2.5,0.265,51.6
46.6,0.894,0.068,0.9,0.7,0.1,2.1,0.027,87
52,0.873,0.094,0.5,1.5,0,1.4,0.119,76.3
44.8,0.698,0.27,0.8,0.6,0.2,1.7,0.048,65.7
47.7,0.621,0.354,0.4,0.5,0,1.6,0.041,58.8
40,0.825,0.152,0.7,0.2,0.1,1.3,0.125,71
51.6,0.846,0.106,0.6,2.2,0.1,1.8,0.138,72.4
51,0.87,0.091,0.5,1.7,0.1,1.6,0.196,69.2
52.5,0.626,0.316,0.3,3.3,0.1,2.1,0.061,57.5
50.8,0.872,0.095,0.7,0.7,0.1,1.7,0.081,80
37.6,0.77,0.197,1.3,0.4,0,1.6,0.066,71.4
47.2,0.587,0.389,0.6,0.4,0,1.4,0.05,54.5
51.6,0.864,0.093,0.5,2,0.1,1.7,0.157,72.1
52,0.829,0.132,0.5,1.6,0.1,1.7,0.119,72.2
50.4,0.904,0.057,1.1,1.3,0.2,1.3,0.129,79.3
51.4,0.779,0.189,0.3,1.7,0,1.2,0.662,14.8
47.5,0.898,0.066,0.4,1.3,0.1,1.8,0.224,68.6
50.8,0.904,0.065,0.5,1,0.1,1.5,0.038,87.2
49.2,0.817,0.101,0.7,3.2,0.3,3.9,0.085,74.7
46.2,0.874,0.088,1.4,1,0.1,1.3,0.253,63.6
50.9,0.69,0.222,0.6,5.6,0.2,2.5,0.292,43.3
51,0.8,0.134,0.8,3,0.2,2.6,0.497,36.1
51.6,0.761,0.188,0.6,2.7,0.1,1.7,0.207,57.3
51.4,0.894,0.056,0.4,2.4,0.1,2,0.134,77.4
52.1,0.831,0.109,0.4,3.4,0.1,2,0.088,75.4
51,0.797,0.157,0.6,1.9,0.1,2,0.196,62.1
50.7,0.803,0.166,0.6,0.7,0.1,1.7,0.096,71.7
48.9,0.871,0.066,0.9,2.2,0.2,3.1,0.052,82.8
52.2,0.916,0.05,0.3,1.6,0.1,1.5,0.087,83.7
51.6,0.806,0.122,0.4,4.1,0.1,2.5,0.192,63.6
51.3,0.895,0.057,0.3,2.6,0.1,1.8,0.061,84
51.2,0.751,0.202,0.6,1.9,0.1,2.1,0.176,59.5
49.3,0.896,0.083,0.4,0.8,0.1,0.9,0.056,84.6
47.8,0.835,0.136,0.7,0.7,0.1,1.5,0.091,75.3
43.6,0.758,0.207,0.9,0.8,0,1.7,0.04,72.3
35.4,0.747,0.229,0.4,0.4,0,1.5,0.053,70.3
51.2,0.845,0.111,0.5,1.9,0.1,1.9,0.122,73.8
44.7,0.814,0.152,0.7,0.6,0.1,2,0.038,78.2
49.1,0.894,0.059,0.9,1.1,0.2,2.5,0.061,84.2
45.2,0.8,0.156,1.4,0.7,0.1,2.2,0.035,77.2
49.9,0.778,0.197,0.5,0.8,0.2,1,0.093,69.8
49.6,0.77,0.179,1.3,0.8,1,2,0.239,56.9
50.8,0.81,0.165,0.4,0.5,0.2,1.4,0.08,74.1
52.1,0.516,0.456,0.4,1.2,0.1,1.2,0.048,47.9
49.6,0.549,0.418,0.3,1.7,0.1,1.2,0.021,53.3
