votes_dem_2016,votes_gop_2016,total_votes_2016,AGE135214,AGE295214,age65plus,SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214,POP715213,POP645213,NonEnglish,Edu_highschool,Edu_batchelors,VET605213,Income,INC110213,Poverty,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,Density
114437,125376,248848,5.1,22.3,15.4,51,0.842,0.036,0.3,10.1,0,1.7,0.128,72.5,92.2,18.5,23.9,93.5,50,23769,48814,98633,4.4,16761,274566,-1.4,40290,52546,2.1,0,7.2,0,5.2,24.3,7631668,17440010,8756311,18032,1129752,1591,460.18,1069.8
81845,170103,259592,6.8,23.5,21.9,51.9,0.929,0.035,0.3,2,0,1.3,0.089,85,91,7.7,12.1,89.8,25.4,48709,30477,61136,10.4,12332,131388,4.5,36987,45546,2.2,0.3,2.5,0,3.3,25.6,0,0,7307436,12922,703022,2937,628.78,917
112608,71488,189099,6.9,24.4,13.1,51.3,0.754,0.148,1.5,5.7,0.2,2.4,0.396,42.9,92.4,28.4,47.7,81.9,25.6,16098,27152,57654,16.3,11866,150775,-0.3,35521,43366,9.5,0.5,6.2,0,17.9,25.4,5178299,7021052,6598022,13546,538657,518,184.59,2715.3
11766,16256,29220,5.7,22.2,17.2,51.3,0.816,0.147,0.5,1,0,2.1,0.08,75.4,89.6,4.5,7.2,86,20.4,5548,28772,59718,12.4,1169,19049,-6.9,2853,4585,6.4,0,0,0,2.3,25.6,1440380,0,669436,10146,82295,51,331.9,199.1
83839,64640,154249,5.5,23.2,14.1,51.3,0.712,0.099,0.3,16.6,0.1,1.9,0.142,58.7,92.2,23.3,29.6,93.2,51.1,13757,47803,99020,5,9925,184467,0.8,25267,32225,5.7,0,11.1,0,6.4,27.5,6401528,14634500,5755996,17946,656131,1310,301.81,1071.7
24132,46486,73860,4.6,21.6,14.8,50.4,0.942,0.022,0.2,2,0,1.5,0.073,87.5,92.7,7.3,9.9,93.4,32.4,9652,37949,87335,5.7,3267,31594,-0.2,10930,14840,0,0,2.5,0,0,25.8,0,0,1722382,11359,172435,222,519.01,287.6
145412,67582,219385,6.5,23.9,13,51.2,0.684,0.235,0.7,5.4,0.1,1.9,0.3,42.3,89.3,29.2,41.9,85.3,31.8,20109,35089,68507,10.8,13669,200810,0.1,39104,48019,13.1,0.5,5.7,0,14.6,25.9,18574672,12948687,7312120,14069,748001,1966,102.86,5216.1
16991,29393,48442,4.6,21.2,16,51.2,0.909,0.045,0.2,2.8,0.1,1.5,0.084,83.5,90.7,9,11.6,89.7,29.6,7042,33555,70912,7.8,2487,30169,-1.9,6843,9552,2.7,0,2.8,0,4.6,25.8,2212191,0,1550611,14137,117967,244,356.92,304.5
141960,93874,269861,6.3,22.9,14.2,51,0.849,0.034,5.8,2.7,0.2,3,0.49,40.2,83.8,10.9,31,87.4,32.1,55419,26814,48801,18,15800,248438,-0.3,38835,53235,1.8,2.6,3.6,0.1,24,31.4,0,6134969,9396128,14942,1398044,1525,1160.83,570.8
426,1453,2024,3.2,14,35,48,0.93,0.006,3.3,0.3,0,2.8,0.198,74.9,88.5,1.6,19,88.1,18.5,501,20616,39826,19.7,58,393,-6.4,357,386,0,0,0,0,0,0,0,0,7206,2084,2638,0,6923.69,0.5
